"ano","uf","racacor","nascidos_vivos"
2016,"MA","Amarela",127
2016,"MA","Branca",9305
2016,"MA","Ignorado",4070
2016,"MA","Indígena",1218
2016,"MA","Parda",91484
2016,"MA","Preta",4285
2016,"MG","Amarela",1310
2016,"MG","Branca",82647
2016,"MG","Ignorado",19671
2016,"MG","Indígena",494
2016,"MG","Parda",130440
2016,"MG","Preta",18954
2016,"MS","Amarela",104
2016,"MS","Branca",14902
2016,"MS","Ignorado",83
2016,"MS","Indígena",2012
2016,"MS","Parda",24409
2016,"MS","Preta",922
2016,"MT","Amarela",186
2016,"MT","Branca",12770
2016,"MT","Ignorado",1779
2016,"MT","Indígena",1349
2016,"MT","Parda",34911
2016,"MT","Preta",2535
2016,"PA","Amarela",207
2016,"PA","Branca",8155
2016,"PA","Ignorado",4790
2016,"PA","Indígena",1310
2016,"PA","Parda",120730
2016,"PA","Preta",2487
2016,"PB","Amarela",169
2016,"PB","Branca",6274
2016,"PB","Ignorado",4912
2016,"PB","Indígena",116
2016,"PB","Parda",43947
2016,"PB","Preta",665
2016,"PE","Amarela",349
2016,"PE","Branca",23945
2016,"PE","Ignorado",1866
2016,"PE","Indígena",952
2016,"PE","Parda",98286
2016,"PE","Preta",5329
2016,"PI","Amarela",221
2016,"PI","Branca",5220
2016,"PI","Ignorado",2387
2016,"PI","Indígena",33
2016,"PI","Parda",37193
2016,"PI","Preta",1932
2016,"PR","Amarela",467
2016,"PR","Branca",117973
2016,"PR","Ignorado",1627
2016,"PR","Indígena",474
2016,"PR","Parda",31017
2016,"PR","Preta",3508
2016,"RJ","Amarela",485
2016,"RJ","Branca",76491
2016,"RJ","Ignorado",3374
2016,"RJ","Indígena",145
2016,"RJ","Parda",114665
2016,"RJ","Preta",23964
2016,"RN","Amarela",88
2016,"RN","Branca",11787
2016,"RN","Ignorado",4510
2016,"RN","Indígena",39
2016,"RN","Parda",28074
2016,"RN","Preta",867
2016,"RO","Amarela",96
2016,"RO","Branca",5609
2016,"RO","Ignorado",2777
2016,"RO","Indígena",403
2016,"RO","Parda",16897
2016,"RO","Preta",818
2016,"RR","Amarela",35
2016,"RR","Branca",787
2016,"RR","Ignorado",18
2016,"RR","Indígena",2757
2016,"RR","Parda",7487
2016,"RR","Preta",291
2016,"RS","Amarela",153
2016,"RS","Branca",116961
2016,"RS","Ignorado",730
2016,"RS","Indígena",670
2016,"RS","Parda",13215
2016,"RS","Preta",9682
2016,"SC","Amarela",94
2016,"SC","Branca",80101
2016,"SC","Ignorado",3344
2016,"SC","Indígena",301
2016,"SC","Parda",8527
2016,"SC","Preta",2945
2016,"SE","Amarela",297
2016,"SE","Branca",3174
2016,"SE","Ignorado",793
2016,"SE","Indígena",64
2016,"SE","Parda",26212
2016,"SE","Preta",1678
2016,"SP","Amarela",3675
2016,"SP","Branca",343480
2016,"SP","Ignorado",7700
2016,"SP","Indígena",925
2016,"SP","Parda",212025
2016,"SP","Preta",33616
2016,"TO","Amarela",188
2016,"TO","Branca",2876
2016,"TO","Ignorado",289
2016,"TO","Indígena",488
2016,"TO","Parda",18740
2016,"TO","Preta",1288
2016,NA,"Amarela",0
2016,NA,"Branca",11
2016,NA,"Ignorado",23
2016,NA,"Indígena",8
2016,NA,"Parda",48
2016,NA,"Preta",6
2017,"AC","Amarela",60
2017,"AC","Branca",1103
2017,"AC","Ignorado",786
2017,"AC","Indígena",842
2017,"AC","Parda",13352
2017,"AC","Preta",215
2017,"AL","Amarela",114
2017,"AL","Branca",3316
2017,"AL","Ignorado",4608
2017,"AL","Indígena",195
2017,"AL","Parda",41660
2017,"AL","Preta",475
2017,"AM","Amarela",149
2017,"AM","Branca",3248
2017,"AM","Ignorado",723
2017,"AM","Indígena",7378
2017,"AM","Parda",66103
2017,"AM","Preta",448
2017,"AP","Amarela",8
2017,"AP","Branca",2226
2017,"AP","Ignorado",178
2017,"AP","Indígena",307
2017,"AP","Parda",11823
2017,"AP","Preta",857
2017,"BA","Amarela",770
2017,"BA","Branca",14850
2017,"BA","Ignorado",15938
2017,"BA","Indígena",771
2017,"BA","Parda",147575
2017,"BA","Preta",24182
2017,"CE","Amarela",236
2017,"CE","Branca",8856
2017,"CE","Ignorado",28301
2017,"CE","Indígena",264
2017,"CE","Parda",89151
2017,"CE","Preta",989
2017,"DF","Amarela",368
2017,"DF","Branca",9693
2017,"DF","Ignorado",12818
2017,"DF","Indígena",80
2017,"DF","Parda",19688
2017,"DF","Preta",1921
2017,"ES","Amarela",116
2017,"ES","Branca",13580
2017,"ES","Ignorado",611
2017,"ES","Indígena",123
2017,"ES","Parda",38685
2017,"ES","Preta",2731
2017,"GO","Amarela",954
2017,"GO","Branca",23692
2017,"GO","Ignorado",10666
2017,"GO","Indígena",118
2017,"GO","Parda",58421
2017,"GO","Preta",3664
2017,"MA","Amarela",164
2017,"MA","Branca",9368
2017,"MA","Ignorado",5221
2017,"MA","Indígena",1550
2017,"MA","Parda",92361
2017,"MA","Preta",4317
2017,"MG","Amarela",1881
2017,"MG","Branca",87942
2017,"MG","Ignorado",9301
2017,"MG","Indígena",494
2017,"MG","Parda",140653
2017,"MG","Preta",20686
2017,"MS","Amarela",132
2017,"MS","Branca",16598
2017,"MS","Ignorado",53
2017,"MS","Indígena",2181
2017,"MS","Parda",24704
2017,"MS","Preta",1079
2017,"MT","Amarela",240
2017,"MT","Branca",13597
2017,"MT","Ignorado",1098
2017,"MT","Indígena",1478
2017,"MT","Parda",38062
2017,"MT","Preta",2793
2017,"PA","Amarela",276
2017,"PA","Branca",7771
2017,"PA","Ignorado",4089
2017,"PA","Indígena",1371
2017,"PA","Parda",122430
2017,"PA","Preta",2745
2017,"PB","Amarela",146
2017,"PB","Branca",6951
2017,"PB","Ignorado",4236
2017,"PB","Indígena",223
2017,"PB","Parda",45166
2017,"PB","Preta",771
2017,"PE","Amarela",420
2017,"PE","Branca",26649
2017,"PE","Ignorado",2197
2017,"PE","Indígena",991
2017,"PE","Parda",99620
2017,"PE","Preta",6029
2017,"PI","Amarela",247
2017,"PI","Branca",4837
2017,"PI","Ignorado",2998
2017,"PI","Indígena",26
2017,"PI","Parda",38643
2017,"PI","Preta",1800
2017,"PR","Amarela",458
2017,"PR","Branca",118876
2017,"PR","Ignorado",1928
2017,"PR","Indígena",427
2017,"PR","Parda",32300
2017,"PR","Preta",3704
2017,"RJ","Amarela",472
2017,"RJ","Branca",76771
2017,"RJ","Ignorado",3916
2017,"RJ","Indígena",131
2017,"RJ","Parda",117133
2017,"RJ","Preta",24793
2017,"RN","Amarela",84
2017,"RN","Branca",13120
2017,"RN","Ignorado",1163
2017,"RN","Indígena",25
2017,"RN","Parda",30843
2017,"RN","Preta",987
2017,"RO","Amarela",64
2017,"RO","Branca",5463
2017,"RO","Ignorado",2993
2017,"RO","Indígena",396
2017,"RO","Parda",17793
2017,"RO","Preta",794
2017,"RR","Amarela",23
2017,"RR","Branca",959
2017,"RR","Ignorado",27
2017,"RR","Indígena",2406
2017,"RR","Parda",8036
2017,"RR","Preta",286
2017,"RS","Amarela",137
2017,"RS","Branca",117219
2017,"RS","Ignorado",475
2017,"RS","Indígena",726
2017,"RS","Parda",13213
2017,"RS","Preta",9798
2017,"SC","Amarela",126
2017,"SC","Branca",82800
2017,"SC","Ignorado",3192
2017,"SC","Indígena",322
2017,"SC","Parda",8871
2017,"SC","Preta",3023
2017,"SE","Amarela",296
2017,"SE","Branca",3507
2017,"SE","Ignorado",500
2017,"SE","Indígena",37
2017,"SE","Parda",27733
2017,"SE","Preta",1794
2017,"SP","Amarela",3645
2017,"SP","Branca",344729
2017,"SP","Ignorado",5049
2017,"SP","Indígena",844
2017,"SP","Parda",221408
2017,"SP","Preta",36123
2017,"TO","Amarela",195
2017,"TO","Branca",3158
2017,"TO","Ignorado",270
2017,"TO","Indígena",537
2017,"TO","Parda",19107
2017,"TO","Preta",1665
2017,NA,"Amarela",0
2017,NA,"Branca",11
2017,NA,"Ignorado",20
2017,NA,"Indígena",3
2017,NA,"Parda",53
2017,NA,"Preta",7
2018,"AC","Amarela",102
2018,"AC","Branca",933
2018,"AC","Ignorado",679
2018,"AC","Indígena",848
2018,"AC","Parda",13800
2018,"AC","Preta",181
2018,"AL","Amarela",116
2018,"AL","Branca",3552
2018,"AL","Ignorado",5728
2018,"AL","Indígena",155
2018,"AL","Parda",42485
2018,"AL","Preta",460
2018,"AM","Amarela",141
2018,"AM","Branca",3750
2018,"AM","Ignorado",369
2018,"AM","Indígena",7701
2018,"AM","Parda",65507
2018,"AM","Preta",594
2018,"AP","Amarela",26
2018,"AP","Branca",2166
2018,"AP","Ignorado",133
2018,"AP","Indígena",290
2018,"AP","Parda",12188
2018,"AP","Preta",1061
2018,"BA","Amarela",842
2018,"BA","Branca",15111
2018,"BA","Ignorado",12940
2018,"BA","Indígena",791
2018,"BA","Parda",149711
2018,"BA","Preta",25934
2018,"CE","Amarela",268
2018,"CE","Branca",9509
2018,"CE","Ignorado",25789
2018,"CE","Indígena",344
2018,"CE","Parda",94560
2018,"CE","Preta",1021
2018,"DF","Amarela",430
2018,"DF","Branca",9524
2018,"DF","Ignorado",13626
2018,"DF","Indígena",77
2018,"DF","Parda",18662
2018,"DF","Preta",1876
2018,"ES","Amarela",146
2018,"ES","Branca",14399
2018,"ES","Ignorado",567
2018,"ES","Indígena",142
2018,"ES","Parda",37936
2018,"ES","Preta",3530
2018,"GO","Amarela",1032
2018,"GO","Branca",25235
2018,"GO","Ignorado",6637
2018,"GO","Indígena",104
2018,"GO","Parda",61388
2018,"GO","Preta",4470
2018,"MA","Amarela",258
2018,"MA","Branca",8990
2018,"MA","Ignorado",4243
2018,"MA","Indígena",1609
2018,"MA","Parda",97429
2018,"MA","Preta",4620
2018,"MG","Amarela",2162
2018,"MG","Branca",87468
2018,"MG","Ignorado",6651
2018,"MG","Indígena",558
2018,"MG","Parda",144568
2018,"MG","Preta",22230
2018,"MS","Amarela",146
2018,"MS","Branca",16361
2018,"MS","Ignorado",62
2018,"MS","Indígena",2173
2018,"MS","Parda",24339
2018,"MS","Preta",1194
2018,"MT","Amarela",235
2018,"MT","Branca",14144
2018,"MT","Ignorado",1015
2018,"MT","Indígena",1773
2018,"MT","Parda",38600
2018,"MT","Preta",2882
2018,"PA","Amarela",260
2018,"PA","Branca",8263
2018,"PA","Ignorado",3923
2018,"PA","Indígena",1429
2018,"PA","Parda",125157
2018,"PA","Preta",2786
2018,"PB","Amarela",153
2018,"PB","Branca",7208
2018,"PB","Ignorado",4281
2018,"PB","Indígena",372
2018,"PB","Parda",47345
2018,"PB","Preta",844
2018,"PE","Amarela",462
2018,"PE","Branca",26671
2018,"PE","Ignorado",1805
2018,"PE","Indígena",1220
2018,"PE","Parda",101513
2018,"PE","Preta",6614
2018,"PI","Amarela",272
2018,"PI","Branca",4661
2018,"PI","Ignorado",3388
2018,"PI","Indígena",38
2018,"PI","Parda",39235
2018,"PI","Preta",1895
2018,"PR","Amarela",587
2018,"PR","Branca",115802
2018,"PR","Ignorado",1743
2018,"PR","Indígena",474
2018,"PR","Parda",33733
2018,"PR","Preta",3862
2018,"RJ","Amarela",481
2018,"RJ","Branca",75119
2018,"RJ","Ignorado",3224
2018,"RJ","Indígena",140
2018,"RJ","Parda",115124
2018,"RJ","Preta",26393
2018,"RN","Amarela",129
2018,"RN","Branca",14160
2018,"RN","Ignorado",1043
2018,"RN","Indígena",35
2018,"RN","Parda",31654
2018,"RN","Preta",1086
2018,"RO","Amarela",90
2018,"RO","Branca",5793
2018,"RO","Ignorado",1249
2018,"RO","Indígena",408
2018,"RO","Parda",19649
2018,"RO","Preta",900
2018,"RR","Amarela",31
2018,"RR","Branca",1100
2018,"RR","Ignorado",41
2018,"RR","Indígena",3017
2018,"RR","Parda",8733
2018,"RR","Preta",421
2018,"RS","Amarela",129
2018,"RS","Branca",114313
2018,"RS","Ignorado",468
2018,"RS","Indígena",702
2018,"RS","Parda",14517
2018,"RS","Preta",9918
2018,"SC","Amarela",150
2018,"SC","Branca",82131
2018,"SC","Ignorado",2905
2018,"SC","Indígena",305
2018,"SC","Parda",10519
2018,"SC","Preta",3599
2018,"SE","Amarela",377
2018,"SE","Branca",3441
2018,"SE","Ignorado",419
2018,"SE","Indígena",42
2018,"SE","Parda",27675
2018,"SE","Preta",2302
2018,"SP","Amarela",3599
2018,"SP","Branca",336569
2018,"SP","Ignorado",3455
2018,"SP","Indígena",760
2018,"SP","Parda",224146
2018,"SP","Preta",37613
2018,"TO","Amarela",254
2018,"TO","Branca",3240
2018,"TO","Ignorado",231
2018,"TO","Indígena",554
2018,"TO","Parda",19401
2018,"TO","Preta",1800
2018,NA,"Amarela",0
2018,NA,"Branca",10
2018,NA,"Ignorado",27
2018,NA,"Indígena",0
2018,NA,"Parda",62
2018,NA,"Preta",7
2019,"AC","Amarela",97
2019,"AC","Branca",704
2019,"AC","Ignorado",673
2019,"AC","Indígena",770
2019,"AC","Parda",13874
2019,"AC","Preta",162
2019,"AL","Amarela",135
2019,"AL","Branca",3144
2019,"AL","Ignorado",7243
2019,"AL","Indígena",205
2019,"AL","Parda",38628
2019,"AL","Preta",448
2019,"AM","Amarela",128
2019,"AM","Branca",4164
2019,"AM","Ignorado",545
2019,"AM","Indígena",7967
2019,"AM","Parda",64083
2019,"AM","Preta",723
2019,"AP","Amarela",29
2019,"AP","Branca",1888
2019,"AP","Ignorado",860
2019,"AP","Indígena",255
2019,"AP","Parda",11423
2019,"AP","Preta",901
2019,"BA","Amarela",818
2019,"BA","Branca",14766
2019,"BA","Ignorado",12302
2019,"BA","Indígena",875
2019,"BA","Parda",142163
2019,"BA","Preta",26325
2019,"CE","Amarela",249
2019,"CE","Branca",8675
2019,"CE","Ignorado",24636
2019,"CE","Indígena",339
2019,"CE","Parda",94224
2019,"CE","Preta",1062
2019,"DF","Amarela",375
2019,"DF","Branca",10452
2019,"DF","Ignorado",8592
2019,"DF","Indígena",72
2019,"DF","Parda",20763
2019,"DF","Preta",2168
2019,"ES","Amarela",185
2019,"ES","Branca",14174
2019,"ES","Ignorado",381
2019,"ES","Indígena",142
2019,"ES","Parda",36284
2019,"ES","Preta",3759
2019,"GO","Amarela",972
2019,"GO","Branca",24701
2019,"GO","Ignorado",5192
2019,"GO","Indígena",86
2019,"GO","Parda",60565
2019,"GO","Preta",4592
2019,"MA","Amarela",227
2019,"MA","Branca",8232
2019,"MA","Ignorado",4296
2019,"MA","Indígena",1509
2019,"MA","Parda",94325
2019,"MA","Preta",4720
2019,"MG","Amarela",2161
2019,"MG","Branca",83862
2019,"MG","Ignorado",6719
2019,"MG","Indígena",520
2019,"MG","Parda",140733
2019,"MG","Preta",22895
2019,"MS","Amarela",160
2019,"MS","Branca",15602
2019,"MS","Ignorado",101
2019,"MS","Indígena",2080
2019,"MS","Parda",24365
2019,"MS","Preta",1387
2019,"MT","Amarela",287
2019,"MT","Branca",14041
2019,"MT","Ignorado",1210
2019,"MT","Indígena",1752
2019,"MT","Parda",38184
2019,"MT","Preta",3378
2019,"PA","Amarela",213
2019,"PA","Branca",7539
2019,"PA","Ignorado",5339
2019,"PA","Indígena",1394
2019,"PA","Parda",121270
2019,"PA","Preta",2583
2019,"PB","Amarela",117
2019,"PB","Branca",6202
2019,"PB","Ignorado",4511
2019,"PB","Indígena",390
2019,"PB","Parda",45693
2019,"PB","Preta",788
2019,"PE","Amarela",433
2019,"PE","Branca",26025
2019,"PE","Ignorado",1654
2019,"PE","Indígena",1182
2019,"PE","Parda",96985
2019,"PE","Preta",7067
2019,"PI","Amarela",273
2019,"PI","Branca",4426
2019,"PI","Ignorado",3287
2019,"PI","Indígena",52
2019,"PI","Parda",38019
2019,"PI","Preta",1874
2019,"PR","Amarela",581
2019,"PR","Branca",112023
2019,"PR","Ignorado",1302
2019,"PR","Indígena",478
2019,"PR","Parda",34914
2019,"PR","Preta",4170
2019,"RJ","Amarela",586
2019,"RJ","Branca",69530
2019,"RJ","Ignorado",3408
2019,"RJ","Indígena",154
2019,"RJ","Parda",106892
2019,"RJ","Preta",27396
2019,"RN","Amarela",202
2019,"RN","Branca",12530
2019,"RN","Ignorado",640
2019,"RN","Indígena",37
2019,"RN","Parda",29424
2019,"RN","Preta",1198
2019,"RO","Amarela",116
2019,"RO","Branca",5382
2019,"RO","Ignorado",661
2019,"RO","Indígena",415
2019,"RO","Parda",19586
2019,"RO","Preta",867
2019,"RR","Amarela",8
2019,"RR","Branca",1161
2019,"RR","Ignorado",15
2019,"RR","Indígena",3268
2019,"RR","Parda",9661
2019,"RR","Preta",507
2019,"RS","Amarela",127
2019,"RS","Branca",108712
2019,"RS","Ignorado",197
2019,"RS","Indígena",720
2019,"RS","Parda",14761
2019,"RS","Preta",10079
2019,"SC","Amarela",219
2019,"SC","Branca",80383
2019,"SC","Ignorado",2435
2019,"SC","Indígena",320
2019,"SC","Parda",10809
2019,"SC","Preta",3863
2019,"SE","Amarela",351
2019,"SE","Branca",3158
2019,"SE","Ignorado",181
2019,"SE","Indígena",37
2019,"SE","Parda",26411
2019,"SE","Preta",2559
2019,"SP","Amarela",3362
2019,"SP","Branca",316397
2019,"SP","Ignorado",3077
2019,"SP","Indígena",594
2019,"SP","Parda",221011
2019,"SP","Preta",38742
2019,"TO","Amarela",258
2019,"TO","Branca",3071
2019,"TO","Ignorado",187
2019,"TO","Indígena",503
2019,"TO","Parda",18621
2019,"TO","Preta",1807
2019,NA,"Amarela",1
2019,NA,"Branca",8
2019,NA,"Ignorado",18
2019,NA,"Indígena",3
2019,NA,"Parda",44
2019,NA,"Preta",8
2020,"AC","Amarela",121
2020,"AC","Branca",857
2020,"AC","Ignorado",671
2020,"AC","Indígena",630
2020,"AC","Parda",12555
2020,"AC","Preta",308
2020,"AL","Amarela",141
2020,"AL","Branca",3146
2020,"AL","Ignorado",858
2020,"AL","Indígena",159
2020,"AL","Parda",43447
2020,"AL","Preta",590
2020,"AM","Amarela",115
2020,"AM","Branca",3656
2020,"AM","Ignorado",930
2020,"AM","Indígena",7678
2020,"AM","Parda",62476
2020,"AM","Preta",739
2020,"AP","Amarela",29
2020,"AP","Branca",1753
2020,"AP","Ignorado",292
2020,"AP","Indígena",279
2020,"AP","Parda",11224
2020,"AP","Preta",1056
2020,"BA","Amarela",731
2020,"BA","Branca",13571
2020,"BA","Ignorado",11818
2020,"BA","Indígena",781
2020,"BA","Parda",137153
2020,"BA","Preta",24906
2020,"CE","Amarela",286
2020,"CE","Branca",9023
2020,"CE","Ignorado",22481
2020,"CE","Indígena",315
2020,"CE","Parda",88424
2020,"CE","Preta",1375
2020,"DF","Amarela",349
2020,"DF","Branca",10206
2020,"DF","Ignorado",6019
2020,"DF","Indígena",59
2020,"DF","Parda",20270
2020,"DF","Preta",2458
2020,"ES","Amarela",262
2020,"ES","Branca",13814
2020,"ES","Ignorado",271
2020,"ES","Indígena",165
2020,"ES","Parda",35170
2020,"ES","Preta",4084
2020,"GO","Amarela",920
2020,"GO","Branca",22970
2020,"GO","Ignorado",3169
2020,"GO","Indígena",104
2020,"GO","Parda",60535
